model,threshold,val_average_precision,val_recall,val_f1,val_total_cost,test_average_precision,test_recall,test_f1,test_total_cost
LogisticRegression,0.3657309236947791,0.7193479738704167,0.93,0.44075829383886256,11580,0.798030092356882,0.944,0.554858934169279,15970
RandomForest,0.10520883534136546,0.7443953331832468,0.98,0.47002398081534774,6380,0.7908403504317395,0.9706666666666667,0.5660964230171073,10970
HistGradientBoosting,0.12124096385542169,0.867552460009127,0.975,0.5084745762711864,6220,0.9033042683329326,0.9653333333333334,0.629018245004344,10640
MLP,0.002269927403805891,0.8188268504458616,0.93,0.42660550458715596,11860,0.8480567806612089,0.9146666666666666,0.5240641711229946,21910
